17,Letter Combinations of a Phone Number,Medium, https://leetcode.com/problems/letter-combinations-of-a-phone-number,amazon; facebook; oracle; facebook; oracle; nutanix; goldman-sachs; twilio; salesforce; salesforce; roblox; nutanix; salesforce; servicenow; goldman-sachs; goldman-sachs; jpmorgan; facebook; jpmorgan; oracle; roblox; roblox; cisco; goldman-sachs; amazon; servicenow; servicenow; facebook; cisco; nutanix; vmware; amazon; roblox; vmware; servicenow; twilio; amazon; oracle,
18,4Sum,Medium, https://leetcode.com/problems/4sum,amazon; facebook; facebook; samsung; amazon; samsung; amazon; amazon,
19,Remove Nth Node From End of List,Medium, https://leetcode.com/problems/remove-nth-node-from-end-of-list,amazon; facebook; oracle; facebook; goldman-sachs; goldman-sachs; goldman-sachs; facebook; oracle; cisco; goldman-sachs; amazon; facebook; cisco; vmware; amazon; vmware; amazon; oracle,
20,Valid Parentheses,Easy, https://leetcode.com/problems/valid-parentheses,amazon; linkedin; intel; facebook; godaddy; vmware; jpmorgan; visa; oracle; facebook; oracle; godaddy; visa; barclays; intel; citadel; goldman-sachs; twilio; salesforce; salesforce; intel; barclays; godaddy; salesforce; servicenow; paypal; goldman-sachs; goldman-sachs; mathworks; jpmorgan; cisco; facebook; jpmorgan; visa; oracle; citadel; cisco; barclays; mathworks; paypal; cisco; jpmorgan; linkedin; goldman-sachs; samsung; amazon; servicenow; servicenow; vmware; samsung; paypal; facebook; cisco; paypal; mathworks; vmware; amazon; citadel; linkedin; citadel; vmware; servicenow; linkedin; airbnb; twilio; amazon; oracle,
21,Merge Two Sorted Lists,Easy, https://leetcode.com/problems/merge-two-sorted-lists,amazon; linkedin; intel; facebook; vmware; oracle; facebook; oracle; visa; intel; capital-one; intel; facebook; visa; oracle; cisco; capital-one; paypal; cisco; linkedin; samsung; amazon; vmware; samsung; paypal; facebook; cisco; vmware; amazon; airbnb; vmware; linkedin; airbnb; amazon; oracle,
22,Generate Parentheses,Medium, https://leetcode.com/problems/generate-parentheses,amazon; facebook; snapchat; facebook; nutanix; salesforce; salesforce; nutanix; snapchat; cisco; nvidia; facebook; cisco; cisco; samsung; amazon; nvidia; samsung; facebook; cisco; nutanix; amazon; nvidia; amazon,
23,Merge k Sorted Lists,Hard, https://leetcode.com/problems/merge-k-sorted-lists,amazon; linkedin; facebook; vmware; oracle; facebook; oracle; salesforce; salesforce; goldman-sachs; mathworks; nvidia; facebook; oracle; cisco; linkedin; goldman-sachs; nvidia; amazon; nvidia; vmware; facebook; cisco; mathworks; vmware; amazon; nvidia; vmware; linkedin; airbnb; amazon; oracle,
24,Swap Nodes in Pairs,Medium, https://leetcode.com/problems/swap-nodes-in-pairs,facebook; oracle; facebook; facebook; oracle; amazon; facebook; amazon; amazon; oracle,
25,Reverse Nodes in k-Group,Hard, https://leetcode.com/problems/reverse-nodes-in-k-group,amazon; facebook; facebook; mathworks; facebook; cisco; mathworks; paypal; mathworks; cisco; amazon; paypal; facebook; cisco; mathworks; vmware; amazon; vmware; amazon,
26,Remove Duplicates from Sorted Array,Easy, https://leetcode.com/problems/remove-duplicates-from-sorted-array,amazon; facebook; oracle; facebook; oracle; servicenow; facebook; oracle; cisco; amazon; servicenow; servicenow; facebook; cisco; vmware; amazon; vmware; servicenow; amazon; oracle,
27,Remove Element,Easy, https://leetcode.com/problems/remove-element,amazon; amazon,
28,Implement strStr(),Easy, https://leetcode.com/problems/implement-strstr,amazon; facebook; oracle; facebook; oracle; citadel; facebook; oracle; citadel; paypal; amazon; vmware; paypal; facebook; vmware; amazon; citadel; vmware; amazon; oracle,
29,Divide Two Integers,Medium, https://leetcode.com/problems/divide-two-integers,amazon; facebook; facebook; facebook; oracle; amazon; facebook; amazon; amazon; oracle,
30,Substring with Concatenation of All Words,Hard, https://leetcode.com/problems/substring-with-concatenation-of-all-words,facebook; facebook; facebook; amazon; amazon; amazon,
